1630571400;81.65
1630571520;81.41
1630571640;86.64
1630571760;56.27
1630571880;107.48
1630572000;59.49
1630572120;82.35
1630572240;99.30
1630572360;90.48
1630572480;78.61
1630572600;91.39
1630572720;102.33
1630572840;80.40
1630572960;93.69
1630573080;62.57
1630573200;82.66
1630573320;83.39
1630573440;84.71
1630573560;80.33
1630573680;75.52
1630573800;57.50
1630573920;103.46
1630574040;89.58
1630574160;62.71
1630574280;87.70
1630574400;75.58
1630574520;74.36
1630574640;100.70
1630574760;81.71
1630574880;100.33
1630575000;85.56
1630575120;65.69
1630575240;102.72
1630575360;61.53
1630575480;81.68
1630575600;92.39
1630575720;107.46
1630575840;73.27
1630575960;82.66
1630576080;95.33
1630576200;95.55
1630576320;86.51
1630576440;86.64
1630576560;66.60
1630576680;63.60
1630576800;71.36
1630576920;92.39
